Date,AQI
01-01-2022,362
02-01-2022,404
03-01-2022,387
04-01-2022,378
05-01-2022,397
06-01-2022,258
07-01-2022,182
08-01-2022,91
09-01-2022,69
10-01-2022,151
11-01-2022,224
12-01-2022,191
13-01-2022,321
14-01-2022,348
15-01-2022,258
16-01-2022,264
17-01-2022,327
18-01-2022,352
19-01-2022,322
20-01-2022,387
21-01-2022,365
22-01-2022,316
23-01-2022,202
24-01-2022,241
25-01-2022,234
26-01-2022,260
27-01-2022,262
28-01-2022,215
29-01-2022,251
30-01-2022,278
31-01-2022,338
01-02-2022,347
02-02-2022,319
03-02-2022,321
04-02-2022,152
05-02-2022,224
06-02-2022,285
07-02-2022,250
08-02-2022,270
09-02-2022,227
10-02-2022,172
11-02-2022,184
12-02-2022,191
13-02-2022,253
14-02-2022,239
15-02-2022,221
16-02-2022,272
17-02-2022,241
18-02-2022,252
19-02-2022,180
20-02-2022,173
21-02-2022,165
22-02-2022,252
23-02-2022,211
24-02-2022,307
25-02-2022,286
26-02-2022,102
27-02-2022,92
28-02-2022,107
01-03-2022,170
02-03-2022,225
03-03-2022,178
04-03-2022,199
05-03-2022,115
06-03-2022,162
07-03-2022,237
08-03-2022,283
09-03-2022,162
10-03-2022,150
11-03-2022,164
12-03-2022,160
13-03-2022,193
14-03-2022,231
15-03-2022,253
16-03-2022,218
17-03-2022,218
18-03-2022,293
19-03-2022,231
20-03-2022,242
21-03-2022,271
22-03-2022,180
23-03-2022,206
24-03-2022,280
25-03-2022,211
26-03-2022,207
27-03-2022,195
28-03-2022,251
29-03-2022,274
30-03-2022,276
31-03-2022,298
01-04-2022,218
02-04-2022,226
03-04-2022,245
04-04-2022,262
05-04-2022,233
06-04-2022,248
07-04-2022,264
08-04-2022,242
09-04-2022,261
10-04-2022,244
11-04-2022,258
12-04-2022,229
13-04-2022,286
14-04-2022,280
15-04-2022,201
16-04-2022,253
17-04-2022,251
18-04-2022,257
19-04-2022,317
20-04-2022,277
21-04-2022,296
22-04-2022,204
23-04-2022,245
24-04-2022,261
25-04-2022,244
26-04-2022,209
27-04-2022,287
28-04-2022,295
29-04-2022,299
30-04-2022,270
01-05-2022,256
02-05-2022,218
03-05-2022,227
04-05-2022,269
05-05-2022,146
06-05-2022,273
07-05-2022,206
08-05-2022,205
09-05-2022,171
10-05-2022,160
11-05-2022,156
12-05-2022,164
13-05-2022,176
14-05-2022,270
15-05-2022,242
16-05-2022,297
17-05-2022,239
18-05-2022,251
19-05-2022,202
20-05-2022,266
21-05-2022,285
22-05-2022,203
23-05-2022,136
24-05-2022,89
25-05-2022,166
26-05-2022,199
27-05-2022,206
28-05-2022,210
29-05-2022,273
30-05-2022,201
31-05-2022,215
01-06-2022,322
02-06-2022,202
03-06-2022,240
04-06-2022,227
05-06-2022,215
06-06-2022,195
07-06-2022,280
08-06-2022,346
09-06-2022,223
10-06-2022,303
11-06-2022,256
12-06-2022,249
13-06-2022,200
14-06-2022,222
15-06-2022,153
16-06-2022,132
17-06-2022,88
18-06-2022,79
19-06-2022,99
20-06-2022,124
21-06-2022,128
22-06-2022,139
23-06-2022,140
24-06-2022,197
25-06-2022,230
26-06-2022,169
27-06-2022,127
28-06-2022,137
29-06-2022,163
30-06-2022,116
01-07-2022,76
02-07-2022,95
03-07-2022,76
04-07-2022,113
05-07-2022,161
06-07-2022,104
07-07-2022,100
08-07-2022,94
09-07-2022,110
10-07-2022,71
11-07-2022,95
12-07-2022,100
13-07-2022,79
14-07-2022,87
15-07-2022,79
16-07-2022,81
17-07-2022,61
18-07-2022,92
19-07-2022,105
20-07-2022,98
21-07-2022,70
22-07-2022,140
23-07-2022,72
24-07-2022,72
25-07-2022,67
26-07-2022,69
27-07-2022,74
28-07-2022,68
29-07-2022,71
30-07-2022,58
31-07-2022,71
01-08-2022,71
02-08-2022,84
03-08-2022,122
04-08-2022,112
05-08-2022,72
06-08-2022,98
07-08-2022,118
08-08-2022,84
09-08-2022,112
10-08-2022,102
11-08-2022,75
12-08-2022,88
13-08-2022,80
14-08-2022,84
15-08-2022,62
16-08-2022,63
17-08-2022,60
18-08-2022,72
19-08-2022,71
20-08-2022,80
21-08-2022,117
22-08-2022,104
23-08-2022,83
24-08-2022,63
25-08-2022,96
26-08-2022,113
27-08-2022,105
28-08-2022,119
29-08-2022,144
30-08-2022,116
31-08-2022,124
01-09-2022,121
02-09-2022,110
03-09-2022,119
04-09-2022,115
05-09-2022,102
06-09-2022,119
07-09-2022,133
08-09-2022,136
09-09-2022,141
10-09-2022,110
11-09-2022,85
12-09-2022,84
13-09-2022,72
14-09-2022,71
15-09-2022,57
16-09-2022,47
17-09-2022,70
18-09-2022,119
19-09-2022,182
20-09-2022,130
21-09-2022,109
22-09-2022,66
23-09-2022,57
24-09-2022,54
25-09-2022,52
26-09-2022,100
27-09-2022,108
28-09-2022,140
29-09-2022,151
30-09-2022,173
01-10-2022,186
02-10-2022,181
03-10-2022,128
04-10-2022,150
05-10-2022,211
06-10-2022,79
07-10-2022,55
08-10-2022,56
09-10-2022,48
10-10-2022,44
11-10-2022,66
12-10-2022,143
13-10-2022,130
14-10-2022,154
15-10-2022,186
16-10-2022,232
17-10-2022,237
18-10-2022,241
19-10-2022,234
20-10-2022,232
21-10-2022,262
22-10-2022,265
23-10-2022,259
24-10-2022,312
25-10-2022,302
26-10-2022,271
27-10-2022,354
28-10-2022,357
29-10-2022,397
30-10-2022,352
31-10-2022,392
01-11-2022,424
02-11-2022,376
03-11-2022,450
04-11-2022,447
05-11-2022,381
06-11-2022,339
07-11-2022,354
08-11-2022,372
09-11-2022,260
10-11-2022,295
11-11-2022,346
12-11-2022,303
13-11-2022,303
14-11-2022,294
15-11-2022,227
16-11-2022,264
17-11-2022,260
18-11-2022,289
19-11-2022,280
20-11-2022,314
21-11-2022,310
22-11-2022,255
23-11-2022,237
24-11-2022,213
25-11-2022,294
26-11-2022,336
27-11-2022,328
28-11-2022,333
29-11-2022,369
30-11-2022,365
01-12-2022,368
02-12-2022,352
03-12-2022,370
04-12-2022,407
05-12-2022,347
06-12-2022,353
07-12-2022,304
08-12-2022,281
09-12-2022,314
10-12-2022,360
11-12-2022,306
12-12-2022,218
13-12-2022,177
14-12-2022,163
15-12-2022,189
16-12-2022,223
17-12-2022,304
18-12-2022,353
19-12-2022,410
20-12-2022,366
21-12-2022,328
22-12-2022,342
23-12-2022,359
24-12-2022,349
25-12-2022,308
26-12-2022,331
27-12-2022,339
28-12-2022,321
29-12-2022,306
30-12-2022,399
31-12-2022,349
01-01-2023,259
02-01-2023,357
03-01-2023,385
04-01-2023,343
05-01-2023,340
06-01-2023,400
07-01-2023,377
08-01-2023,375
09-01-2023,434
10-01-2023,407
11-01-2023,308
12-01-2023,371
13-01-2023,378
14-01-2023,353
15-01-2023,213
16-01-2023,270
17-01-2023,288
18-01-2023,306
19-01-2023,338
20-01-2023,226
21-01-2023,294
22-01-2023,407
23-01-2023,335
24-01-2023,237
25-01-2023,160
26-01-2023,298
27-01-2023,229
28-01-2023,236
29-01-2023,331
30-01-2023,207
31-01-2023,192
01-02-2023,164
02-02-2023,194
03-02-2023,199
04-02-2023,242
05-02-2023,244
06-02-2023,265
07-02-2023,285
08-02-2023,144
09-02-2023,212
10-02-2023,187
11-02-2023,275
12-02-2023,175
13-02-2023,135
14-02-2023,132
15-02-2023,190
16-02-2023,270
17-02-2023,367
18-02-2023,371
19-02-2023,331
20-02-2023,324
21-02-2023,245
22-02-2023,302
23-02-2023,227
24-02-2023,171
25-02-2023,225
26-02-2023,291
27-02-2023,260
28-02-2023,219
01-03-2023,181
02-03-2023,226
03-03-2023,152
04-03-2023,129
05-03-2023,142
06-03-2023,142
07-03-2023,173
08-03-2023,215
09-03-2023,119
10-03-2023,187
11-03-2023,200
12-03-2023,216
13-03-2023,231
14-03-2023,219
15-03-2023,213
16-03-2023,259
17-03-2023,188
18-03-2023,184
19-03-2023,162
20-03-2023,154
21-03-2023,75
22-03-2023,164
23-03-2023,151
24-03-2023,205
25-03-2023,78
26-03-2023,164
27-03-2023,146
28-03-2023,147
29-03-2023,198
30-03-2023,170
31-03-2023,73
01-04-2023,106
02-04-2023,128
03-04-2023,179
04-04-2023,109
05-04-2023,135
06-04-2023,142
07-04-2023,142
08-04-2023,172
09-04-2023,217
10-04-2023,195
11-04-2023,260
12-04-2023,213
13-04-2023,211
14-04-2023,249
15-04-2023,235
16-04-2023,229
17-04-2023,206
18-04-2023,235
19-04-2023,236
20-04-2023,159
21-04-2023,129
22-04-2023,141
23-04-2023,118
24-04-2023,160
25-04-2023,156
26-04-2023,210
27-04-2023,219
28-04-2023,150
29-04-2023,216
30-04-2023,132
01-05-2023,91
02-05-2023,76
03-05-2023,107
04-05-2023,113
05-05-2023,183
06-05-2023,234
07-05-2023,173
08-05-2023,131
09-05-2023,197
10-05-2023,203
11-05-2023,274
12-05-2023,227
13-05-2023,235
14-05-2023,259
15-05-2023,162
16-05-2023,259
17-05-2023,336
18-05-2023,149
19-05-2023,152
20-05-2023,186
21-05-2023,215
22-05-2023,199
23-05-2023,198
24-05-2023,158
25-05-2023,106
26-05-2023,98
27-05-2023,110
28-05-2023,134
29-05-2023,136
30-05-2023,115
31-05-2023,85
01-06-2023,96
02-06-2023,120
03-06-2023,121
04-06-2023,171
05-06-2023,166
06-06-2023,139
07-06-2023,239
08-06-2023,161
09-06-2023,152
10-06-2023,134
11-06-2023,130
12-06-2023,169
13-06-2023,205
14-06-2023,213
15-06-2023,154
16-06-2023,119
17-06-2023,119
18-06-2023,90
19-06-2023,75
20-06-2023,104
21-06-2023,91
22-06-2023,110
23-06-2023,132
24-06-2023,169
25-06-2023,71
26-06-2023,93
27-06-2023,86
28-06-2023,93
29-06-2023,101
30-06-2023,70
01-07-2023,69
02-07-2023,71
